statement_id,speaker,speaker_role,quote,passage_context,venue,venue_type,date_value,date_precision,statement_type,search_method,producing_query,source_url,notes
1,Vanessa Nygaard,WNBA head coach (Phoenix Mercury 2022-2023),"Didn't mean to take away from Sky or any of the other All-Stars. Our team is super excited for Sky. I apologize if my comments took away from that…if it was the other way around, I would stick up for Sky as well. We've addressed it as a team & we're moving forward.","There were plenty of reactions around the league immediately following the tweet, and I figured we'd see the usual walkback — an effort to blame the media for misinterpreting, say, or claims of a hack. But SDS didn't take it down, liked some responses that approvingly read it as a shot at Nygaard, and more to the point, Nygaard herself understood what the intent was. How do we know this? Because Nygaard publicly apologized to SDS the next day! ""Didn't mean to take away from Sky or any of the other All-Stars. Our team is super excited for Sky. I apologize if my comments took away from that…if it was the other way around, I would stick up for Sky as well. We've addressed it as a team & we're moving forward."" -HC Nygaard The level of shock around the league mirrored my own.","Public apology statement relayed in a Mercury beat reporter's tweet, embedded in The IX (theixsports.com) article",social_via_page,2022-07,month,reflection,coach_name_search,"""Vanessa Nygaard"" media OR press",https://www.theixsports.com/basketball/nygaard-diggins-smith-mercury-clown/,"Quote appears in a tweet by beat reporter Eliav Gabay embedded in Howard Megdal's article (published 2022-07-06), attributed '-HC Nygaard' as printed. Exact day of the apology uncertain (article says the day after her All-Star comments, early July 2022), so month precision used. Ellipsis appears inside the printed quote; unclear whether it is source elision or original punctuation, so fidelity marked printed_with_ellipsis. Quote appears as a block quote on the page attributed '-HC Nygaard'; ellipsis (…) is a single Unicode character as printed."
2,Bob Huggins,"Head coach, men's basketball, West Virginia University; Naismith Basketball Hall of Fame inductee (2022); active at time of statement","Earlier today on a Cincinnati radio program, I was asked about the rivalry between my former employer, the University of Cincinnati, and its crosstown rival, Xavier University. During the conversation, I used a completely insensitive and abhorrent phrase that there is simply no excuse for -- and I won't try to make one here. I deeply apologize to the individuals I have offended, as well as to the Xavier University community, the University of Cincinnati and West Virginia University. As I have shared with my players over my 40 years of coaching, there are consequences for our words and actions, and I will fully accept any coming my way. I am ashamed and embarrassed and heartbroken for those I have hurt. I must do better, and I will.","Huggins posted the following full statement to the @wvuhoops Twitter account on May 8, 2023, at 5:21 p.m. ET, hours after using a homophobic slur on a Cincinnati radio program (700WLW Bill Cunningham Show) while discussing the Cincinnati-Xavier basketball rivalry: ""Earlier today on a Cincinnati radio program, I was asked about the rivalry between my former employer, the University of Cincinnati, and its crosstown rival, Xavier University. During the conversation, I used a completely insensitive and abhorrent phrase that there is simply no excuse for -- and I won't try to make one here. I deeply apologize to the individuals I have offended, as well as to the Xavier University community, the University of Cincinnati and West Virginia University. As I have shared with my players over my 40 years of coaching, there are consequences for our words and actions, and I will fully accept any coming my way. I am ashamed and embarrassed and heartbroken for those I have hurt. I must do better, and I will.""","@wvuhoops Twitter (WVU men's basketball official account), May 8, 2023; full text reproduced and confirmed by ESPN (espn.com), WSAZ, and CBS News",social_via_page,2023-05-08,day,reflection,coach_name_search,Bob Huggins basketball tweeted OR posted media,https://www.espn.com/mens-college-basketball/story/_/id/37571594/wvu-reviewing-incident-huggins-uses-anti-gay-slur-air,"Underlying statement (slur made while discussing basketball rivalry on radio) is political/social in nature; however the apology/walk-back is explicitly listed as IN per inclusion criteria. ESPN version of quote renders ""any"" as ""[anything]""; WSAZ, CNN, and The Intelligencer corroborate ""any"" without brackets; ESPN bracket likely editorial interpolation for omitted word. Huggins resigned June 2023 following this and a subsequent DUI arrest."
3,Bill Russell,"Player-coach, Boston Celtics (1966-69)",I don't like to single out guys in public. I know all these guys and there's no point to that.,"The players know I have a lot going on in my mind and I appreciate the help. I've never tried to prove that I'm a big genius and I'll accept all the help I can get from the players. If something's not right, let me know. I don't like to single out guys in public. I know all these guys and there's no point to that.","Originally: Boston Globe column by Russell, 1969 NBA playoffs. Quoted in Leigh Montville, Tall Men Short Shorts (2021); excerpt published in Sports Illustrated July 12 2021.",article,1969,year,personal rule,coach_name_search,Bill Russell single out in public basketball coach 1969,https://www.si.com/nba/2021/07/12/tall-men-short-shorts-excerpt-bill-russell-celtics,"Originally from Russell's own Boston Globe column written during the 1969 NBA playoffs (player-coach era). NBA.com 2021 independently quotes the same passage. Montville's book reproduces or closely paraphrases the Globe column text. Identity confirmed: basketball figure, player-coach Celtics."
4,John Calipari,college head coach (Kentucky 2009-2024; at quote time Kentucky),"My opinion, which I don't give very often, I keep my opinions to myself, but in this case I'll tell you.","Q. This year's tournament is worth somewhere around $700 million for the NCAA. By making the Final Four, you guys have earned $8 million or $9 million for your conferences to cover costs, salaries. Should any of that money do you think go directly to your players?
COACH CALIPARI: Well, I think it's taken the NCAA 30 to 40 years, but they're beginning to change now. I mean, right now we brought parents to the Final Four for the first time. My opinion, which I don't give very often, I keep my opinions to myself, but in this case I'll tell you. My opinion is the parents should come to every round. Why should the parents only come to the final round? What about the other 64 teams that played in this, why wouldn't their parents enjoy being with them?","NCAA Men's Final Four press conference, April 2, 2015 (ASAP Sports FastScripts transcript)",presser_transcript,2015-04-02,day,personal rule,coach_name_search,site:asapsports.com John Calipari,http://www.asapsports.com/show_interview.php?id=108066,"Verified by direct fetch of the raw transcript page; preface to his opinion on NCAA policy (parents at tournament rounds, stipends, insurance); borderline: passing self-characterization of his public-comment practice rather than an extended reflection. PASSAGE SOURCE: https://www.asapsports.com/show_interview.php?id=108066 ASAP Sports press conference transcript. Full Q&A block captured verbatim. Original corpus URL used http://; page served as https://."
5,Bill Russell,"Player-coach, Boston Celtics (1966-69)","I'd be a hypocrite if I ever clamped down on one of my players for sounding off. I always spoke my mind as a player, so I couldn't criticize anyone for doing the same thing.","Chamberlain publicly knocked Russell's dual role. He said he felt the Celtics had the better team during the last season, but the 76ers had better coaching. ""I think it's almost an impossibility for Bill Russell to exert himself physically and mentally and also make the proper coaching calls. I've said it to him,"" Wilt commented. When the press quoted Celtic Larry Siegfried and Sam Jones as suggesting playing and coaching both were too much for Russ, their boss said simply: ""I'd be a hypocrite if I ever clamped down on one of my players for sounding off. I always spoke my mind as a player, so I couldn't criticize anyone for doing the same thing."" If these were Russell's friends, he also knew how to make them toe the mark. He used the player fine with the same stinging effectiveness as had Auerbach. One cornerstone of the disciplinary system—pay a fine of $1 per minute for being late to practice.","Pro Basketball Illustrated 1967-68, article by Bob Hoobing (AP / Boston Globe journalist); reprinted at From Way Downtown (2022)",article,1968,year,personal rule,coach_name_search,Bill Russell hypocrite sounding off basketball coach,https://from-way-downtown.com/2022/08/02/%EF%BF%BCplayer-russell-takes-a-look-at-coach-russell-1968/,"Reprint of 1967-68 Pro Basketball Illustrated piece by Bob Hoobing. Quote often misattributed to Auerbach; verified as Russell on fetched page: attribution is 'their boss said simply.' Identity confirmed: basketball figure, player-coach Celtics 1966-69."
6,Stan Van Gundy,"Incoming NBA head coach, New Orleans Pelicans (at time of interview)","when you're representing an organization, you've got to still be true to your beliefs, but the tone of things has to change because you're not just representing yourself anymore, and you have to be cognizant of that. Nobody in that organization has said, 'You need to stop tweeting' or 'You can't express your beliefs' or any of that. Nobody's said that to me. But I am cognizant of the fact that every once in a while, I can get a little too...harsh, I guess? And I'll be careful to avoid that.","""Once I got out of the bubble, time was all I had,"" Van Gundy told Bleacher Report over the phone from his home in the Orlando, Florida, area, hours after taking the Pelicans job. ""Walk the dogs in the morning and then sit down and do political stuff. Now, I have a lot more to do, so it'll be less. And I think when you're representing an organization, you've got to still be true to your beliefs, but the tone of things has to change because you're not just representing yourself anymore, and you have to be cognizant of that. Nobody in that organization has said, 'You need to stop tweeting' or 'You can't express your beliefs' or any of that. Nobody's said that to me. But I am cognizant of the fact that every once in a while, I can get a little too...harsh, I guess? And I'll be careful to avoid that.""",Bleacher Report (Sean Highkin),article,2020-10-21,day,personal rule,coach_name_search,"Q11 ""tweeted OR posted media""",https://bleacherreport.com/articles/2914536-how-stan-van-gundy-found-his-way-back-to-coaching-with-new-orleans-pelicans,Also republished with identical wording by NBC Sports (https://www.nbcsports.com/nba/news/hired-by-pelicans-stan-van-gundy-says-hell-keep-tweeting); Bleacher Report is the original interview source and is cited as source_url.
7,Roy Williams,UNC head basketball coach (recalling a past televised interview),"I was really mad at her. ... I told her, ""do not ask me about that."" ... That has nothing to do with a national championship game. ... And then, fast forward a couple of weeks later, I found out that the guy in her head was not telling her [to ask that]. And, so, I had no use for anything about her or that moment. And I didn't think it was fair. And I really didn't give a flip at that moment. I cared about those kids in the locker room and to have someone be that insensitive and stupid? I have no problem saying that after I'd told her, ""do not ask."" ... Because I'm not concerned about that. You don't see my kids in the locker room crying right now. And that's what I'm concerned about.","On the podcast ""Roy: That Dadgum Legend,"" discussing a CBS interview with reporter Bonnie Bernstein: before the interview started, Williams asked Bernstein not to bring up the North Carolina head-coaching opening (he was Kansas's coach at the time). She asked about it anyway; Williams recounts his anger and reasoning: ""I was really mad at her. ... I told her, ""do not ask me about that."" ... That has nothing to do with a national championship game. ... And then, fast forward a couple of weeks later, I found out that the guy in her head was not telling her [to ask that]. And, so, I had no use for anything about her or that moment. And I didn't think it was fair. And I really didn't give a flip at that moment. I cared about those kids in the locker room and to have someone be that insensitive and stupid? I have no problem saying that after I'd told her, ""do not ask."" ... Because I'm not concerned about that. You don't see my kids in the locker room crying right now. And that's what I'm concerned about.""","""Roy: That Dadgum Legend"" podcast (Capitol Broadcasting/WCMC), as reported by Tar Heel Tribune",podcast,2021-10-27,day,reflection,coach_name_search,"Q9 - ""Roy Williams"" basketball podcast (media OR press)",https://tarheeltribune.com/2021/10/27/in-podcast-roy-talks-bernstein-interview-cursing-and-why-he-said-yes-to-unc-the-2nd-time/,Underlying Bernstein interview itself dates to Williams's Kansas tenure (widely reported as 2003 championship-game era); date recorded here is the Oct 2021 podcast reflection.
8,Joe Mazzulla,NBA head coach (Boston Celtics 2022- ),"Just need to focus on the truth. At the end of the day, nobody knows because they are not in the locker room. And so I think as long as we focus on the truth, we focus on the things that we talk about every day, we focus on the relationships that we build with each other, we focus on just that stuff. They can look at it however they want. At the end of the day, what goes on in our locker room, how we communicate with each other, how we build relationships with each other and how we treat each other on and off the floor, that's the most important thing.","Q. Jason Kidd just called Jaylen, you guys' best player. He said it twice. That could be a slight at Jayson, but how do you want your guys to read those quotes? They read everything, there's a lot said between games. How do you want them to digest when there might be gamesmanship here, there might be some type of -- that was said for a purpose, obviously. But how do you want them to take that in?
JOE MAZZULLA: Just need to focus on the truth. At the end of the day, nobody knows because they are not in the locker room. And so I think as long as we focus on the truth, we focus on the things that we talk about every day, we focus on the relationships that we build with each other, we focus on just that stuff. They can look at it however they want. At the end of the day, what goes on in our locker room, how we communicate with each other, how we build relationships with each other and how we treat each other on and off the floor, that's the most important thing.",NBA Finals practice-day press conference (ASAP Sports transcript),presser_transcript,2024-06-08,day,advice,coach_name_search,site:asapsports.com Joe Mazzulla,http://www.asapsports.com/show_interview.php?id=198066,Reception-side: about digesting another coach's public comments rather than making one's own; full Q&A verified verbatim on the transcript page. PASSAGE SOURCE: https://www.asapsports.com/show_interview.php?id=198066 ASAP Sports press conference transcript. Full Q&A block captured verbatim. Original corpus URL used http://; page served as https://.
9,Ben Jacobson,University of Northern Iowa men's head basketball coach; out-of-roster college coach,I don't go on message boards. I believe that to be the world's greatest waste of time.,"As for message boards, Jacobson was succinct. ""I don't go on message boards,"" he said. ""I believe that to be the world's greatest waste of time.""","Pekin Daily Times (Dave Eminian, Peoria Journal Star / USA TODAY Network syndication)",newspaper_article,2021-02-05,day,personal rule,topic_search_database,"AWN slot 4: how basketball coaches should handle the media (alltext), page 1 rank 15",https://infoweb.newsbank.com/apps/news/document-view?p=AWNB&docref=news/180774ACB81E0338,Jacobson's adjacent advice to players about filtering social media ('you need to filter that out') left out of the quote as player-directed consumption advice; flagged for Ken in the memo. SOURCE-URL CORRECTION 2026-07-07: recorded docref replaced with the archived article's self-identifying docref (pilot results-page extraction was misaligned by one rank; see README 2026-07-07).
10,Doc Rivers,"NBA head coach (Milwaukee Bucks at time of quote; previously Celtics, Clippers, 76ers)","I had a terrible press conference after that Game 7. We lost. I said something -- I meant something different, but it was taken differently.","But as he reflected this summer about what he'd learned from his decades on the bench, and what he might do differently if he ever got the chance to do it again, he thought back to one of the more painful episodes of his tenure: the emotional end of that first season in Philly, when the Sixers lost in Game 7 of their second-round series to the Atlanta Hawks, a game made infamous by the performance of Ben Simmons. ""I had a terrible press conference after that Game 7. We lost. I said something -- I meant something different, but it was taken differently. That started it. Then Joel [Embiid] had a bad press conference. ""I don't know if the whole Ben thing was going to happen regardless, but I didn't like me being a part of that. So your first thing is, how can I handle that better? How can I answer that question better?""",ESPN.com feature interview (2024 All-Star break),article,2024-02-25,day,reflection,coach_name_search,"""Doc Rivers"" media OR press [search results restricted to espn.com]",https://www.espn.com/nba/story/_/id/39593942/dame-giannis-lessons-ben-simmons-saga-doc-rivers-first-month-bucks,"In the same interview Rivers adds: ""So your first thing is, how can I handle that better? How can I answer that question better?"" Em-dashes as printed by ESPN; article by Jamal Collier."
